epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,10599.4,0.10231,0.12844,0.87935,0.99653,1,0.995,0.995,0.05463,0.08811,0.77541,0.006634,0.006634,0.006634
172,10661.3,0.10283,0.12765,0.88107,0.99643,1,0.995,0.995,0.05444,0.08815,0.77526,0.0066142,0.0066142,0.0066142
173,10723.2,0.1027,0.12954,0.88071,0.99635,1,0.995,0.995,0.05438,0.08876,0.77517,0.0065944,0.0065944,0.0065944
174,10785.2,0.10203,0.12589,0.87948,0.99617,1,0.995,0.995,0.05418,0.08966,0.77499,0.0065746,0.0065746,0.0065746
175,10847.1,0.10304,0.13018,0.88141,0.99621,1,0.995,0.995,0.05414,0.09011,0.77505,0.0065548,0.0065548,0.0065548
176,10909.1,0.1023,0.12839,0.88001,0.99611,1,0.995,0.995,0.05415,0.09006,0.7751,0.006535,0.006535,0.006535
177,10971.1,0.1042,0.13232,0.88163,0.99604,1,0.995,0.995,0.05425,0.08981,0.77505,0.0065152,0.0065152,0.0065152
178,11033.1,0.10171,0.12646,0.88004,0.996,1,0.995,0.995,0.05441,0.08936,0.77506,0.0064954,0.0064954,0.0064954
179,11095,0.10257,0.12796,0.88013,0.99607,1,0.995,0.995,0.05459,0.08933,0.77513,0.0064756,0.0064756,0.0064756
180,11156.9,0.10574,0.12987,0.88329,0.99592,1,0.995,0.995,0.05464,0.08966,0.77516,0.0064558,0.0064558,0.0064558
181,11218.9,0.10258,0.12782,0.88119,0.99608,1,0.995,0.995,0.05466,0.08985,0.77518,0.006436,0.006436,0.006436
182,11280.8,0.10251,0.12746,0.88081,0.99604,1,0.995,0.995,0.05505,0.09035,0.77516,0.0064162,0.0064162,0.0064162
183,11342.7,0.10219,0.12898,0.87941,0.99602,1,0.995,0.995,0.05502,0.09019,0.77509,0.0063964,0.0063964,0.0063964
184,11404.6,inf,0.12521,0.88081,0.99602,1,0.995,0.995,0.05485,0.09054,0.77481,0.0063766,0.0063766,0.0063766
185,11466.5,0.10216,0.12749,0.88,0.99603,1,0.995,0.995,0.05468,0.09115,0.7746,0.0063568,0.0063568,0.0063568
186,11528.4,0.10481,0.13421,0.88104,0.99588,1,0.995,0.995,0.0547,0.09111,0.77451,0.006337,0.006337,0.006337
187,11590.3,0.10352,0.12846,0.88129,0.99605,1,0.995,0.995,0.05435,0.09145,0.77432,0.0063172,0.0063172,0.0063172
188,11652.2,0.1025,0.12711,0.88024,0.99603,1,0.995,0.995,0.05423,0.09201,0.77417,0.0062974,0.0062974,0.0062974
